Short_Postcode,Town_City,County
TR27,HAYLE,CORNWALL
PL14,LISKEARD,CORNWALL
PL30,BODMIN,CORNWALL
TR11,FALMOUTH,CORNWALL
TR10,PENRYN,CORNWALL
TR15,REDRUTH,CORNWALL
TR14,CAMBORNE,CORNWALL
PL22,LOSTWITHIEL,CORNWALL
TR16,REDRUTH,CORNWALL
TR7,NEWQUAY,CORNWALL
TR26,ST IVES,CORNWALL
PL13,LOOE,CORNWALL
PL11,TORPOINT,CORNWALL
TR18,PENZANCE,CORNWALL
PL18,CALSTOCK,CORNWALL
TR13,HELSTON,CORNWALL
TR19,PENZANCE,CORNWALL
PL25,ST AUSTELL,CORNWALL
PL18,GUNNISLAKE,CORNWALL
PL27,WADEBRIDGE,CORNWALL
PL24,PAR,CORNWALL
TR3,TRURO,CORNWALL
TR1,TRURO,CORNWALL
EX23,BUDE,CORNWALL
TR4,TRURO,CORNWALL
PL10,TORPOINT,CORNWALL
PL15,LAUNCESTON,CORNWALL
PL32,CAMELFORD,CORNWALL
PL31,BODMIN,CORNWALL
PL17,CALLINGTON,CORNWALL
TR9,ST COLUMB,CORNWALL
PL23,FOWEY,CORNWALL
TR6,PERRANPORTH,CORNWALL
TR12,HELSTON,CORNWALL
PL26,ST AUSTELL,CORNWALL
TR2,TRURO,CORNWALL
TR5,ST AGNES,CORNWALL
PL12,SALTASH,CORNWALL
PL28,PADSTOW,CORNWALL
TR17,MARAZION,CORNWALL
TR8,NEWQUAY,CORNWALL
EX22,HOLSWORTHY,CORNWALL
TR20,PENZANCE,CORNWALL
PL33,DELABOLE,CORNWALL
PL34,TINTAGEL,CORNWALL
PL35,BOSCASTLE,CORNWALL
PL29,PORT ISAAC,CORNWALL
PL14,LAUNCESTON,CORNWALL
BS14,BRISTOL,CITY OF BRISTOL
BS3,BRISTOL,CITY OF BRISTOL
BS5,BRISTOL,CITY OF BRISTOL
BS7,BRISTOL,CITY OF BRISTOL
BS4,BRISTOL,CITY OF BRISTOL
BS6,BRISTOL,CITY OF BRISTOL
BS8,BRISTOL,CITY OF BRISTOL
BS1,BRISTOL,CITY OF BRISTOL
BS2,BRISTOL,CITY OF BRISTOL
BS9,BRISTOL,CITY OF BRISTOL
BS13,BRISTOL,CITY OF BRISTOL
BS16,BRISTOL,CITY OF BRISTOL
BS10,BRISTOL,CITY OF BRISTOL
BS15,BRISTOL,CITY OF BRISTOL
BS11,BRISTOL,CITY OF BRISTOL
BS20,BRISTOL,CITY OF BRISTOL
BS35,BRISTOL,CITY OF BRISTOL
